id,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,sorgen,sorgenkat,verzicht,verzicht-cat,preis,preis-cat,nachttisch,nachttisch-cat,tagohnehandy,tagohnehandy-cat,facebook,faceb-cat,insta,insta-cat,schutzmechanismen,tutetwas,tutetwas-cat
4,30,6,Maennlich,2h-3h,3,9,Stimmt ganz,1, 20 CHF,1,Mehr als 20 CHF,5,Ja,1,Stimmt,1,Nein,4,eher Nein,3,1,Aktiv sicherer Messenger,1
5,15,2,Maennlich,4h-5h,5,25,Stimmt gar nicht,4, 100 CHF,2,Mehr als 20 CHF,5,Nein,4,Stimmt eher ,2,eher Nein,3,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
6,14,2,Maennlich,4h-5h,5,25,Stimmt eher,2, über  100 CHF,3,6-10 CHF,3,Ja,1,Stimmt nicht,4,Nein,4,Nein,4,0,Gar keine Massnahmen,3
7,15,2,Maennlich,4h-5h,5,25,Stimmt eher,2, 100 CHF,2,3-5 CHF,2,Ja,1,Stimmt eher ,2,eher Nein,3,eher Ja,2,1,Aktiv sicherer Messenger,1
8,32,6,Maennlich,1h-2h,2,4,Stimmt ganz,1, über  100 CHF,3,Mehr als 20 CHF,5,Ja,1,Stimmt eher nicht,3,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
9,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2, 20 CHF,1,Ich würde auf die App verzichten,0,Nein,4,Stimmt,1,Weiss nicht,0,Ja,1,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
10,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3, über  100 CHF,3,Mehr als 20 CHF,5,Ja,1,Stimmt eher ,2,eher Ja,2,Ja,1,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
11,16,3,Maennlich,4h-5h,5,25,Stimmt eher,2, über  100 CHF,3,Ich würde auf die App verzichten,0,eher Nein,3,Stimmt,1,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
12,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3, 5 CHF,1, 1-2 CHF,1,eher Nein,3,Stimmt,1,Nein,4,eher Nein,3,1,Aktiv sicherer Messenger,1
13,18,4,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3, über  100 CHF,3,Mehr als 20 CHF,5,Ja,1,Stimmt,1,eher Nein,3,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
14,18,4,Maennlich,3h-4h,4,16,Stimmt eher nicht,3, 100 CHF,2, 1-2 CHF,1,eher Ja,2,Stimmt,1,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
15,16,3,Weiblich,4h-5h,5,25,Stimmt eher nicht,3, über  100 CHF,3,3-5 CHF,2,eher Ja,2,Stimmt eher nicht,3,Nein,4,eher Ja,2,0,Gar keine Massnahmen,3
16,21,5,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,eher Ja,2,Stimmt,1,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
17,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3, 100 CHF,2,11-20 CHF,4,Ja,1,Stimmt eher nicht,3,Nein,4,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
18,20,5,Weiblich,1h-2h,2,4,Stimmt eher,2,Würde ich auch gratis machen,0,6-10 CHF,3,eher Ja,2,Stimmt,1,Nein,4,eher Nein,3,1,Aktiv sicherer Messenger,1
19,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,Würde ich auch gratis machen,0,3-5 CHF,2,eher Nein,3,Stimmt,1,Nein,4,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
20,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher,2,Würde ich auch gratis machen,0,3-5 CHF,2,eher Ja,2,Stimmt,1,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
21,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,10 CHF,1,Mehr als 20 CHF,5,eher Nein,3,Stimmt,1,Nein,4,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
22,19,4,Weiblich,4h-5h,5,25,Stimmt eher,2, über  100 CHF,3,3-5 CHF,2,eher Ja,2,Stimmt,1,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
23,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Ja,1,Stimmt,1,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
24,18,4,Weiblich,3h-4h,4,16,Stimmt eher,2, über  100 CHF,3,6-10 CHF,3,Nein,4,Stimmt nicht,4,Ja,1,eher Ja,2,0,Gar keine Massnahmen,3
25,20,5,Weiblich,3h-4h,4,16,Stimmt eher,2,Würde ich auch gratis machen,0, 1-2 CHF,1,Ja,1,Stimmt,1,Nein,4,Nein,4,0,Gar keine Massnahmen,3
26,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Nein,4,Stimmt,1,eher Nein,3,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
27,42,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2,Würde ich auch gratis machen,0,3-5 CHF,2,eher Nein,3,Stimmt eher ,2,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
28,18,4,Maennlich,2h-3h,3,9,Stimmt gar nicht,4, über  100 CHF,3,Mehr als 20 CHF,5,Ja,1,Stimmt nicht,4,Nein,4,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
29,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3, über  100 CHF,3, 1-2 CHF,1,Nein,4,Stimmt,1,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
30,17,3,Weiblich,2h-3h,3,9,Stimmt eher,2,Würde ich auch gratis machen,0,Ich würde auf die App verzichten,0,Ja,1,Stimmt,1,Weiss nicht,0,eher Ja,2,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
31,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,Würde ich auch gratis machen,0, 1-2 CHF,1,eher Ja,2,Stimmt eher ,2,Weiss nicht,0,eher Nein,3,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
32,16,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3, über  100 CHF,3,Mehr als 20 CHF,5,eher Ja,2,Stimmt eher ,2,Nein,4,Nein,4,1,Kein sichererer Messenger aber sonstige Schutzmassnahmen,2
33,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3, über  100 CHF,3,6-10 CHF,3,Ja,1,Stimmt eher nicht,3,eher Nein,3,eher Ja,2,0,Gar keine Massnahmen,3
34,17,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3, 100 CHF,2, 1-2 CHF,1,Ja,1,Stimmt eher ,2,eher Nein,3,eher Ja,2,0,Gar keine Massnahmen,3
35,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2, 20 CHF,1, 1-2 CHF,1,eher Nein,3,Stimmt,1,Nein,4,Nein,4,1,Aktiv sicherer Messenger,1
36,16,3,Weiblich,3h-4h,4,16,Stimmt eher,2, über  100 CHF,3,Mehr als 20 CHF,5,Ja,1,Stimmt eher nicht,3,eher Nein,3,eher Nein,3,0,Gar keine Massnahmen,3
