id,jahr,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,sorgen,sorgenkat
1,2021,30,6,Maennlich,2h-3h,3,9,Stimmt ganz,1
2,2021,15,2,Maennlich,4h-5h,5,25,Stimmt gar nicht,4
3,2021,14,2,Maennlich,4h-5h,5,25,Stimmt eher,2
4,2021,15,2,Maennlich,4h-5h,5,25,Stimmt eher,2
5,2021,32,6,Maennlich,1h-2h,2,4,Stimmt ganz,1
6,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2
7,2021,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
8,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher,2
9,2021,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
10,2021,18,4,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
11,2021,18,4,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
12,2021,16,3,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
13,2021,21,5,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
14,2021,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
15,2021,20,5,Weiblich,1h-2h,2,4,Stimmt eher,2
16,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
17,2021,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher,2
18,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
19,2021,19,4,Weiblich,4h-5h,5,25,Stimmt eher,2
20,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2
21,2021,18,4,Weiblich,3h-4h,4,16,Stimmt eher,2
22,2021,20,5,Weiblich,3h-4h,4,16,Stimmt eher,2
23,2021,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2
24,2021,42,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2
25,2021,18,4,Maennlich,2h-3h,3,9,Stimmt gar nicht,4
26,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
27,2021,17,3,Weiblich,2h-3h,3,9,Stimmt eher,2
28,2021,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
29,2021,16,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
30,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
31,2021,17,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3
32,2021,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2
33,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher,2
34,2021,17,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
35,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3
36,2021,16,3,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
37,2021,15,2,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
38,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
39,2021,17,3,Maennlich,3h-4h,4,16,Stimmt ganz,1
40,2021,19,4,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
41,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3
42,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher,2
43,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3
44,2021,17,3,Weiblich,Mehr als 5h,6,36,Stimmt eher,2
45,2021,17,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3
46,2021,15,2,Maennlich,4h-5h,5,25,Stimmt eher,2
47,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt ganz,1
48,2021,16,3,Non-Binaer,Mehr als 5h,6,36,Stimmt eher nicht,3
49,2021,22,5,Maennlich,2h-3h,3,9,Stimmt eher,2
50,2021,14,2,Weiblich,Mehr als 5h,6,36,Stimmt gar nicht,4
51,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2
52,2021,17,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3
53,2021,18,4,Maennlich,Mehr als 5h,6,36,Stimmt gar nicht,4
54,2021,17,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3
55,2021,51,6,Weiblich,3h-4h,4,16,Stimmt ganz,1
56,2021,55,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2
57,2021,16,3,Maennlich,1h-2h,2,4,Stimmt eher,2
58,2021,15,2,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
59,2021,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
60,2021,16,3,Weiblich,1h-2h,2,4,Stimmt eher,2
61,2021,15,2,Weiblich,1h-2h,2,4,Stimmt eher,2
62,2021,17,3,Maennlich,3h-4h,4,16,Stimmt eher,2
63,2021,15,2,Maennlich,2h-3h,3,9,Stimmt ganz,1
64,2021,14,2,Maennlich,3h-4h,4,16,Stimmt gar nicht,4
65,2021,47,6,Maennlich,1h-2h,2,4,Stimmt eher,2
66,2021,15,2,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3
67,2021,14,2,Weiblich,1h-2h,2,4,Stimmt eher nicht,3
68,2021,39,6,Maennlich,1h-2h,2,4,Stimmt eher,2
69,2021,15,2,Weiblich,4h-5h,5,25,Stimmt eher nicht,3
70,2021,49,6,Maennlich,2h-3h,3,9,Stimmt eher,2
71,2021,18,4,Maennlich,3h-4h,4,16,Stimmt eher,2
72,2021,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2
73,2021,27,5,Weiblich,weniger als 1h,1,1,Stimmt eher,2
74,2021,29,5,Weiblich,1h-2h,2,4,Stimmt eher,2
75,2021,15,2,Weiblich,1h-2h,2,4,Stimmt ganz,1
76,2021,46,6,Maennlich,1h-2h,2,4,Stimmt eher,2
77,2021,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3
78,2021,19,4,Maennlich,2h-3h,3,9,Stimmt ganz,1
79,2021,50,6,Weiblich,2h-3h,3,9,Stimmt eher nicht,3
80,2021,50,6,Weiblich,weniger als 1h,1,1,Stimmt ganz,1
81,2021,52,6,Weiblich,1h-2h,2,4,Stimmt ganz,1
82,2021,53,6,Weiblich,1h-2h,2,4,Stimmt eher nicht,3
83,2021,50,6,Maennlich,1h-2h,2,4,Stimmt eher,2
