id,jahr,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,sorgen,sorgenkat,smartphone-schlafen,smartphone-schlafen-kat,verzicht,verzicht-kat,geldeinewoche,geldeinewochekat
1,2021,30,6,Maennlich,2h-3h,3,9,Stimmt ganz,1,Ja,1,Stimmt,1,20 CHF,1
2,2021,15,2,Maennlich,4h-5h,5,25,Stimmt gar nicht,4,Nein,4,Stimmt eher ,2,100 CHF,2
3,2021,14,2,Maennlich,4h-5h,5,25,Stimmt eher,2,Ja,1,Stimmt nicht,4,ueber 100 CHF,3
4,2021,15,2,Maennlich,4h-5h,5,25,Stimmt eher,2,Ja,1,Stimmt eher ,2,100 CHF,2
5,2021,32,6,Maennlich,1h-2h,2,4,Stimmt ganz,1,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
6,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2,Nein,4,Stimmt,1,20 CHF,1
7,2021,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,ueber 100 CHF,3
8,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher,2,eher Nein,3,Stimmt,1,ueber 100 CHF,3
9,2021,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,eher Nein,3,Stimmt,1,5 CHF,1
10,2021,18,4,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt,1,ueber 100 CHF,3
11,2021,18,4,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,100 CHF,2
12,2021,16,3,Weiblich,4h-5h,5,25,Stimmt eher nicht,3,eher Ja,2,Stimmt eher nicht,3,ueber 100 CHF,3
13,2021,21,5,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
14,2021,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt eher nicht,3,100 CHF,2
15,2021,20,5,Weiblich,1h-2h,2,4,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
16,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,eher Nein,3,Stimmt,1,Wuerde ich auch gratis machen,0
17,2021,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
18,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,eher Nein,3,Stimmt,1,10 CHF,1
19,2021,19,4,Weiblich,4h-5h,5,25,Stimmt eher,2,eher Ja,2,Stimmt,1,ueber 100 CHF,3
20,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2,Ja,1,Stimmt,1,Wuerde ich auch gratis machen,0
21,2021,18,4,Weiblich,3h-4h,4,16,Stimmt eher,2,Nein,4,Stimmt nicht,4,ueber 100 CHF,3
22,2021,20,5,Weiblich,3h-4h,4,16,Stimmt eher,2,Ja,1,Stimmt,1,Wuerde ich auch gratis machen,0
23,2021,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2,Nein,4,Stimmt,1,Wuerde ich auch gratis machen,0
24,2021,42,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2,eher Nein,3,Stimmt eher ,2,Wuerde ich auch gratis machen,0
25,2021,18,4,Maennlich,2h-3h,3,9,Stimmt gar nicht,4,Ja,1,Stimmt nicht,4,ueber 100 CHF,3
26,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,Nein,4,Stimmt,1,ueber 100 CHF,3
27,2021,17,3,Weiblich,2h-3h,3,9,Stimmt eher,2,Ja,1,Stimmt,1,Wuerde ich auch gratis machen,0
28,2021,18,4,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt eher ,2,Wuerde ich auch gratis machen,0
29,2021,16,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3,eher Ja,2,Stimmt eher ,2,ueber 100 CHF,3
30,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
31,2021,17,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,100 CHF,2
32,2021,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2,eher Nein,3,Stimmt,1,20 CHF,1
33,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher,2,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
34,2021,17,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt eher nicht,3,ueber 100 CHF,3
35,2021,16,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,100 CHF,2
36,2021,16,3,Maennlich,3h-4h,4,16,Stimmt gar nicht,4,Ja,1,Stimmt,1,ueber 100 CHF,3
37,2021,15,2,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,eher Ja,2,Stimmt eher ,2,50 CHF,2
38,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,Nein,4,Stimmt eher nicht,3,ueber 100 CHF,3
39,2021,17,3,Maennlich,3h-4h,4,16,Stimmt ganz,1,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
40,2021,19,4,Maennlich,3h-4h,4,16,Stimmt gar nicht,4,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
41,2021,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Nein,4,Stimmt nicht,4,ueber 100 CHF,3
42,2021,16,3,Maennlich,2h-3h,3,9,Stimmt eher,2,eher Ja,2,Stimmt eher ,2,ueber 100 CHF,3
43,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt nicht,4,ueber 100 CHF,3
44,2021,17,3,Weiblich,Mehr als 5h,6,36,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
45,2021,17,3,Maennlich,4h-5h,5,25,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,ueber 100 CHF,3
46,2021,15,2,Maennlich,4h-5h,5,25,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
47,2021,16,3,Weiblich,Mehr als 5h,6,36,Stimmt ganz,1,eher Nein,3,Stimmt eher ,2,Wuerde ich auch gratis machen,0
48,2021,16,3,Non-Binaer,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt nicht,4,ueber 100 CHF,3
49,2021,22,5,Maennlich,2h-3h,3,9,Stimmt eher,2,eher Nein,3,Stimmt eher ,2,50 CHF,2
50,2021,14,2,Weiblich,Mehr als 5h,6,36,Stimmt gar nicht,4,eher Ja,2,Stimmt eher ,2,20 CHF,1
51,2021,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2,Ja,1,Stimmt eher nicht,3,100 CHF,2
52,2021,17,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,Ja,1,Stimmt,1,100 CHF,2
53,2021,18,4,Maennlich,Mehr als 5h,6,36,Stimmt gar nicht,4,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
54,2021,17,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,20 CHF,1
55,2021,51,6,Weiblich,3h-4h,4,16,Stimmt ganz,1,eher Ja,2,Stimmt eher ,2,Wuerde ich auch gratis machen,0
56,2021,55,6,Maennlich,weniger als 1h,1,1,Stimmt eher,2,eher Nein,3,Stimmt eher nicht,3,ueber 100 CHF,3
