id,jahr,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,griffweitetext,Griffweite,verzicht,verzicht-kat,sorgen
1,2021,30,6,Maennlich,2h-3h,3,9,Ja,1,Stimmt,1,Stimmt ganz
2,2021,15,2,Maennlich,4h-5h,5,25,Nein,4,Stimmt eher ,2,Stimmt gar nicht
3,2021,14,2,Maennlich,4h-5h,5,25,Ja,1,Stimmt nicht,4,Stimmt eher
4,2021,15,2,Maennlich,4h-5h,5,25,Ja,1,Stimmt eher ,2,Stimmt eher
5,2021,32,6,Maennlich,1h-2h,2,4,Ja,1,Stimmt eher nicht,3,Stimmt ganz
6,2021,16,3,Weiblich,2h-3h,3,9,Nein,4,Stimmt,1,Stimmt eher
7,2021,16,3,Maennlich,3h-4h,4,16,Ja,1,Stimmt eher ,2,Stimmt eher nicht
8,2021,16,3,Maennlich,4h-5h,5,25,eher Nein,3,Stimmt,1,Stimmt eher
9,2021,18,4,Maennlich,2h-3h,3,9,eher Nein,3,Stimmt,1,Stimmt eher nicht
10,2021,18,4,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt,1,Stimmt eher nicht
11,2021,18,4,Maennlich,3h-4h,4,16,eher Ja,2,Stimmt,1,Stimmt eher nicht
12,2021,16,3,Weiblich,4h-5h,5,25,eher Ja,2,Stimmt eher nicht,3,Stimmt eher nicht
13,2021,21,5,Maennlich,3h-4h,4,16,eher Ja,2,Stimmt,1,Stimmt eher nicht
14,2021,17,3,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt eher nicht,3,Stimmt eher nicht
15,2021,20,5,Weiblich,1h-2h,2,4,eher Ja,2,Stimmt,1,Stimmt eher
16,2021,16,3,Weiblich,2h-3h,3,9,eher Nein,3,Stimmt,1,Stimmt eher nicht
17,2021,17,3,Maennlich,Mehr als 5h,6,36,eher Ja,2,Stimmt,1,Stimmt eher
18,2021,16,3,Maennlich,2h-3h,3,9,eher Nein,3,Stimmt,1,Stimmt eher nicht
19,2021,19,4,Weiblich,4h-5h,5,25,eher Ja,2,Stimmt,1,Stimmt eher
20,2021,16,3,Weiblich,2h-3h,3,9,Ja,1,Stimmt,1,Stimmt eher
21,2021,18,4,Weiblich,3h-4h,4,16,Nein,4,Stimmt nicht,4,Stimmt eher
22,2021,20,5,Weiblich,3h-4h,4,16,Ja,1,Stimmt,1,Stimmt eher
23,2021,17,3,Weiblich,1h-2h,2,4,Nein,4,Stimmt,1,Stimmt eher
24,2021,42,6,Maennlich,weniger als 1h,1,1,eher Nein,3,Stimmt eher ,2,Stimmt eher
25,2021,18,4,Maennlich,2h-3h,3,9,Ja,1,Stimmt nicht,4,Stimmt gar nicht
26,2021,16,3,Maennlich,2h-3h,3,9,Nein,4,Stimmt,1,Stimmt eher nicht
27,2021,17,3,Weiblich,2h-3h,3,9,Ja,1,Stimmt,1,Stimmt eher
28,2021,18,4,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
29,2021,16,3,Maennlich,Mehr als 5h,6,36,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
30,2021,16,3,Weiblich,3h-4h,4,16,Ja,1,Stimmt eher nicht,3,Stimmt eher nicht
31,2021,17,3,Weiblich,Mehr als 5h,6,36,Ja,1,Stimmt eher ,2,Stimmt eher nicht
32,2021,17,3,Weiblich,1h-2h,2,4,eher Nein,3,Stimmt,1,Stimmt eher
33,2021,16,3,Weiblich,3h-4h,4,16,Ja,1,Stimmt eher nicht,3,Stimmt eher
34,2021,17,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher nicht,3,Stimmt eher nicht
35,2021,16,3,Maennlich,4h-5h,5,25,Ja,1,Stimmt eher ,2,Stimmt eher nicht
